Zeit;Kanal A
(ms);(mV)

-23,99187408;1,11712600
-23,98687408;1,48929600
-23,98187408;3,72354800
-23,97687408;3,90994000
-23,97187408;4,28211100
-23,96687408;5,02706700
-23,96187408;5,21284400
-23,95687408;5,21284400
-23,95187408;7,63348900
-23,94687408;7,63348900
-23,94187408;7,63348900
-23,93687408;8,00565900
-23,93187408;7,63348900
-23,92687408;8,75061500
-23,92187408;8,93700700
-23,91687408;8,56422200
-23,91187408;10,05413000
-23,90687408;9,49557100
-23,90187408;9,49557100
-23,89687408;11,17126000
-23,89187408;10,98487000
-23,88687408;11,17126000
-23,88187408;11,35704000
-23,87687408;11,72982000
-23,87187408;12,66056000
-23,86687408;13,21912000
-23,86187408;12,84695000
-23,85687408;13,21912000
-23,85187408;13,40551000
-23,84687408;13,59190000
-23,84187408;13,21912000
-23,83687408;13,03334000
-23,83187408;12,28839000
-23,82687408;12,84695000
-23,82187408;12,28839000
-23,81687408;9,86774200
-23,81187408;12,28839000
-23,80687408;11,72982000
-23,80187408;11,72982000
-23,79687408;11,35704000
-23,79187408;11,72982000
-23,78687408;11,54343000
-23,78187408;11,54343000
-23,77687408;13,03334000
-23,77187408;12,10199000
-23,76687408;12,28839000
-23,76187408;12,28839000
-23,75687408;12,10199000
-23,75187408;11,72982000
-23,74687408;12,66056000
-23,74187408;12,28839000
-23,73687408;12,66056000
-23,73187408;12,28839000
-23,72687408;10,98487000
-23,72187408;10,61270000
-23,71687408;10,61270000
-23,71187408;10,05413000
-23,70687408;10,61270000
-23,70187408;10,23991000
-23,69687408;9,68134800
-23,69187408;10,23991000
-23,68687409;10,42630000
-23,68187409;10,23991000
-23,67687409;10,42630000
-23,67187409;10,79847000
-23,66687409;10,79847000
-23,66187409;10,42630000
-23,65687409;11,72982000
-23,65187409;11,54343000
-23,64687409;11,17126000
-23,64187409;11,72982000
-23,63687409;11,91621000
-23,63187409;12,28839000
-23,62687409;12,10199000
-23,62187409;11,72982000
-23,61687409;11,35704000
-23,61187409;12,10199000
-23,60687409;11,91621000
-23,60187409;12,28839000
-23,59687409;11,72982000
-23,59187409;11,91621000
-23,58687409;11,91621000
-23,58187409;11,72982000
-23,57687409;11,72982000
-23,57187409;11,72982000
-23,56687409;12,47478000
-23,56187409;11,54343000
-23,55687409;12,10199000
-23,55187409;12,10199000
-23,54687409;12,10199000
-23,54187409;11,72982000
-23,53687409;12,28839000
-23,53187409;12,10199000
-23,52687409;12,28839000
-23,52187409;12,10199000
-23,51687409;11,91621000
-23,51187409;11,72982000
-23,50687409;11,72982000
-23,50187409;11,17126000
-23,49687409;11,17126000
-23,49187409;10,42630000
-23,48687409;9,86774200
-23,48187409;10,23991000
-23,47687409;8,37844500
-23,47187409;8,37844500
-23,46687409;7,07492600
-23,46187409;5,77140700
-23,45687409;4,84067400
-23,45187409;4,09571800
-23,44687409;2,04785900
-23,44187409;0,93073320
-23,43687409;-1,11712600
-23,43187409;-2,23425200
-23,42687409;-2,97859200
-23,42187409;-3,16498500
-23,41687409;-3,35137800
-23,41187409;-4,09571800
-23,40687409;-3,90994000
-23,40187409;-3,16498500
-23,39687409;-2,23425200
-23,39187409;-1,48929600
-23,38687409;0,74434050
-23,38187409;0,37217020
-23,37687409;1,67568900
-23,37187409;1,67568900
-23,36687409;2,60642200
-23,36187409;2,04785900
-23,35687409;2,04785900
-23,35187409;1,48929600
-23,34687409;0,37217020
-23,34187409;-1,48929600
-23,33687409;-2,04785900
-23,33187409;-3,72354800
-23,32687409;-4,46850300
-23,32187409;-5,39923700
-23,31687409;-5,95780000
-23,31187409;-6,70275500
-23,30687409;-7,81988100
-23,30187409;-6,32997000
-23,29687409;-7,07492600
-23,29187410;-6,88853300
-23,28687410;-6,88853300
-23,28187410;-6,14419300
-23,27687410;-6,14419300
-23,27187410;-6,14419300
-23,26687410;-5,39923700
-23,26187410;-6,32997000
-23,25687410;-5,02706700
-23,25187410;-6,32997000
-23,24687410;-7,26131900
-23,24187410;-7,63348900
-23,23687410;-8,19205200
-23,23187410;-10,42630000
-23,22687410;-10,98487000
-23,22187410;-10,98487000
-23,21687410;-12,66056000
-23,21187410;-12,10199000
-23,20687410;-13,21912000
-23,20187410;-14,33624000
-23,19687410;-13,77768000
-23,19187410;-14,15047000
-23,18687410;-13,21912000
-23,18187410;-12,84695000
-23,17687410;-11,91621000
-23,17187410;-11,35704000
-23,16687410;-11,35704000
-23,16187410;-9,68134800
-23,15687410;-9,49557100
-23,15187410;-8,75061500
-23,14687410;-9,12278500
-23,14187410;-8,56422200
-23,13687410;-8,75061500
-23,13187410;-8,19205200
-23,12687410;-11,35704000
-23,12187410;-8,75061500
-23,11687410;-9,49557100
-23,11187410;-9,30917700
-23,10687410;-9,49557100
-23,10187410;-10,23991000
-23,09687410;-11,35704000
-23,09187410;-11,35704000
-23,08687410;-12,47478000
-23,08187410;-11,17126000
-23,07687410;-11,91621000
-23,07187410;-12,10199000
-23,06687410;-12,47478000
-23,06187410;-12,10199000
-23,05687410;-11,72982000
-23,05187410;-11,54343000
-23,04687410;-10,61270000
-23,04187410;-10,98487000
-23,03687410;-11,17126000
-23,03187410;-10,42630000
-23,02687410;-10,42630000
-23,02187410;-9,49557100
-23,01687410;-9,49557100
-23,01187410;-9,49557100
-23,00687410;-9,12278500
-23,00187410;-9,86774200
-22,99687410;-10,05413000
-22,99187410;-9,49557100
-22,98687410;-9,49557100
-22,98187410;-9,49557100
-22,97687410;-9,86774200
-22,97187410;-10,61270000
-22,96687410;-8,93700700
-22,96187410;-10,42630000
-22,95687410;-10,61270000
-22,95187410;-10,61270000
-22,94687410;-10,42630000
-22,94187410;-10,98487000
-22,93687410;-10,05413000
-22,93187410;-10,42630000
-22,92687410;-9,68134800
-22,92187410;-9,68134800
-22,91687410;-9,49557100
-22,91187410;-8,93700700
-22,90687410;-9,12278500
-22,90187410;-8,19205200
-22,89687410;-8,00565900
-22,89187411;-6,88853300
-22,88687411;-6,88853300
-22,88187411;-5,95780000
-22,87687411;-6,51636300
-22,87187411;-5,39923700
-22,86687411;-5,95780000
-22,86187411;-5,39923700
-22,85687411;-5,02706700
-22,85187411;-5,21284400
-22,84687411;-4,84067400
-22,84187411;-5,58562900
-22,83687411;-5,77140700
-22,83187411;-5,95780000
-22,82687411;-6,32997000
-22,82187411;-5,95780000
-22,81687411;-6,32997000
-22,81187411;-6,32997000
-22,80687411;-6,70275500
-22,80187411;-6,51636300
-22,79687411;-7,26131900
-22,79187411;-6,70275500
-22,78687411;-7,81988100
-22,78187411;-6,32997000
-22,77687411;-5,77140700
-22,77187411;-5,58562900
-22,76687411;-3,90994000
-22,76187411;-3,72354800
-22,75687411;-3,35137800
-22,75187411;-2,97859200
-22,74687411;-1,67568900
-22,74187411;-0,93073320
-22,73687411;0,18577760
-22,73187411;0,74434050
-22,72687411;1,67568900
-22,72187411;2,04785900
-22,71687411;2,79281500
-22,71187411;4,46850300
-22,70687411;4,65428200
-22,70187411;5,21284400
-22,69687411;5,58562900
-22,69187411;6,70275500
-22,68687411;6,70275500
-22,68187411;7,26131900
-22,67687411;7,63348900
-22,67187411;8,37844500
-22,66687411;8,19205200
-22,66187411;8,93700700
-22,65687411;8,56422200
-22,65187411;8,56422200
-22,64687411;9,49557100
-22,64187411;9,49557100
-22,63687411;10,79847000
-22,63187411;11,72982000
-22,62687411;11,72982000
-22,62187411;11,35704000
-22,61687411;11,72982000
-22,61187411;12,66056000
-22,60687411;12,66056000
-22,60187411;13,59190000
-22,59687411;13,21912000
-22,59187411;12,84695000
-22,58687411;12,66056000
-22,58187411;12,66056000
-22,57687411;12,10199000
-22,57187411;12,10199000
-22,56687411;11,72982000
-22,56187411;12,28839000
-22,55687411;12,10199000
-22,55187411;11,91621000
-22,54687411;10,98487000
-22,54187411;11,91621000
-22,53687411;11,17126000
-22,53187411;11,35704000
-22,52687411;10,98487000
-22,52187411;11,72982000
-22,51687411;11,91621000
-22,51187411;11,91621000
-22,50687411;12,10199000
-22,50187411;10,42630000
-22,49687412;12,66056000
-22,49187412;12,10199000
-22,48687412;11,91621000
